"id";"objectid";"point_lat";"point_lng";"obj_type";"type";"o_id";"naam";"aantal_loc";"ligging";"orientatie";"status";"shape"
"190";"64";"51.21738806188000";"4.42001646693320";"VELO";"ENKELZIJDIG";"004";"De Keyserlei";"19";" ";" ";"VEILIG";""
"193";"65";"51.22150861148400";"4.40868822321410";"VELO";"<Null>";"028";"Keizerstraat";"24";" ";" ";"VEILIG";""
"196";"66";"51.20377699279700";"4.42077013046000";"VELO";"ENKELZIJDIG";"130";"Larmoriniere";"18";" ";" ";"VEILIG";""
"199";"67";"51.20537333682800";"4.41351779471680";"VELO";"ENKELZIJDIG";"093";"Sint-Vincentius";"29";" ";" ";"VEILIG";""
"202";"68";"51.19844525696200";"4.40219662728780";"VELO";"ENKELZIJDIG";"089";"Hof van Leysen";"20";" ";" ";"VEILIG";""
"205";"69";"51.20576894398500";"4.39879385445840";"VELO";"ENKELZIJDIG";"085";"Den Bell";"24";" ";" ";"VEILIG";""
"208";"70";"51.21336707125200";"4.41327703383260";"VELO";"ENKELZIJDIG";"096";"Stadspark";"24";" ";" ";"VEILIG";""
"211";"71";"51.21650381345300";"4.39374722646900";"VELO";"<Null>";"065";"Plantinkaai";"30";" ";" ";"VEILIG";""
"214";"72";"51.21888381446700";"4.40119750243500";"VELO";"ENKELZIJDIG";"017";"Groenplaats";"18";" ";" ";"VEILIG";""
"217";"73";"51.22187539291300";"4.41289259056530";"VELO";"ENKELZIJDIG";"054";"Ossenmarkt";"21";" ";" ";"VEILIG";""
"220";"74";"51.22724086891500";"4.42228468155020";"VELO";"ENKELZIJDIG";"118";"Dambrugge";"21";" ";" ";"VEILIG";""
"223";"75";"51.22734414679700";"4.43069659595460";"VELO";"<Null>";"121";"Stuivenbergplein";"30";" ";" ";"VEILIG";""
"226";"76";"51.19294471557900";"4.42103436520040";"VELO";"<Null>";"103";"Oude Kerk Berchem";"24";" ";" ";"VEILIG";""
"229";"77";"51.19312160918300";"4.40800264304510";"VELO";"ENKELZIJDIG";"031";"Wezenberg";"21";" ";" ";"VEILIG";""
"232";"78";"51.19375572983500";"4.41223689172320";"VELO";"ENKELZIJDIG";"131";"De Wittestraat";"21";" ";" ";"VEILIG";""
"235";"79";"51.19510434321900";"4.41751680254830";"VELO";"<Null>";"100";"Van Hombeeckplein";"33";" ";" ";"VEILIG";""
"238";"80";"51.19709245848000";"4.41027881352030";"VELO";"<Null>";"099";"Generaal Leman";"24";" ";" ";"VEILIG";""
"241";"81";"51.19846926922300";"4.39071870992600";"VELO";"DUBBELZIJDIG";"010";"NMBS Zuid";"36";" ";" ";"VEILIG";""
"244";"82";"51.19987539393900";"4.41878996120190";"VELO";"ENKELZIJDIG";"098";"Haringrode";"21";" ";" ";"VEILIG";""
"247";"83";"51.20077334534700";"4.39421324791480";"VELO";"ENKELZIJDIG";"087";"Lange Elzen";"21";" ";" ";"VEILIG";""
"250";"84";"51.20103730383300";"4.43405976594590";"VELO";"ENKELZIJDIG";"007";"NMBS Berchem 1";"36";" ";" ";"VEILIG";""
"253";"85";"51.20898020182700";"4.43769553737610";"VELO";"ENKELZIJDIG";"009";"NMBS Oost";"18";" ";" ";"VEILIG";""
"256";"86";"51.20119382970200";"4.40224224576010";"VELO";"ENKELZIJDIG";"088";"Haantjeslei";"21";" ";" ";"VEILIG";""
"259";"87";"51.20177747718300";"4.40606503642410";"VELO";"ENKELZIJDIG";"029";"Lozana";"18";" ";" ";"VEILIG";""
"262";"88";"51.20228446617300";"4.41207056691840";"VELO";"ENKELZIJDIG";"042";"Harmonie";"21";" ";" ";"VEILIG";""
"265";"89";"51.20320765555800";"4.42844611628450";"VELO";"ENKELZIJDIG";"097";"Cuperus";"21";" ";" ";"VEILIG";""
"268";"90";"51.20341796491700";"4.39184231515370";"VELO";" ";"086";"Troonplaats";"0";" ";" ";"VEILIG";""
"271";"91";"51.20459747639000";"4.41056984059590";"VELO";"ENKELZIJDIG";"092";"Sint-Thomas";"21";" ";" ";"VEILIG";""
"274";"92";"51.20454625106400";"4.40477472399490";"VELO";"ENKELZIJDIG";"090";"Ballaertstraat";"17";" ";" ";"VEILIG";""
"277";"93";"51.20472026940900";"4.38763761217780";"VELO";"<Null>";"081";"Justitiepaleis";"27";" ";" ";"VEILIG";""
"280";"94";"51.20544717338500";"4.43226389496800";"VELO";"ENKELZIJDIG";"106";"Draakplaats";"21";" ";" ";"VEILIG";""
"283";"95";"51.20772229774300";"4.39839990622010";"VELO";"ENKELZIJDIG";"083";"Brederode";"27";" ";" ";"VEILIG";""
"286";"96";"51.20782169070700";"4.39439279364560";"VELO";"<Null>";"015";"Schone Kunsten";"24";" ";" ";"VEILIG";""
"289";"97";"51.20823733012300";"4.42433083482810";"VELO";"ENKELZIJDIG";"104";"Mercator";"18";" ";" ";"VEILIG";""
"292";"98";"51.20883007611900";"4.38731573207820";"VELO";"ENKELZIJDIG";"082";"Fotografiemuseum";"21";" ";" ";"VEILIG";""
"295";"99";"51.20882303673600";"4.40829787138240";"VELO";"ENKELZIJDIG";"091";"Hemelstraat";"18";" ";" ";"VEILIG";""
"298";"100";"51.20903567738400";"4.43265526829760";"VELO";"ENKELZIJDIG";"105";"Plantin en Moretus";"21";" ";" ";"VEILIG";""
"301";"101";"51.20917545332200";"4.40289724729680";"VELO";"<Null>";"078";"Oud Gerechtshof";"27";" ";" ";"VEILIG";""
"304";"102";"51.20985192518800";"4.39097536022640";"VELO";"<Null>";"075";"Vlaamsekaai";"24";" ";" ";"VEILIG";""
"307";"103";"51.21005679564500";"4.41738906547230";"VELO";"ENKELZIJDIG";"116";"Loosplaats";"18";" ";" ";"VEILIG";""
"310";"104";"51.21103842550900";"4.39033278891670";"VELO";"<Null>";"034";"MKHA";"27";" ";" ";"VEILIG";""
"313";"105";"51.21097112458700";"4.40723666607260";"VELO";"<Null>";"079";"Nationale Bank";"23";" ";" ";"VEILIG";""
"316";"106";"51.21172804054100";"4.43778526416540";"VELO";"ENKELZIJDIG";"132";"Montgomery";"18";" ";" ";"VEILIG";""
"319";"107";"51.21190494070100";"4.39894010188910";"VELO";"<Null>";"072";"Tropisch Instituut";"27";" ";" ";"VEILIG";""
